CONDITION,DATE,DAY OF WEEK,HIGH TEMP,HUMIDITY,LOW TEMP,PRESSURE,SEA LEVEL,STATION ID,WIND DEGREE DIRECTION,WIND SPEED
few clouds,06/06/2019,Thu,90.46,21.0,90.46,998.55,,6,167.0,11.61
broken clouds,06/06/2019,Thu,79.79,31.0,79.79,997.68,,6,173.0,9.31
overcast clouds,06/07/2019,Fri,73.64,37.0,73.64,997.09,,6,184.0,6.35
overcast clouds,06/07/2019,Fri,71.33,38.0,71.33,997.33,,6,257.0,7.14
overcast clouds,06/07/2019,Fri,64.85,67.0,64.85,999.33,,6,309.0,8.99
overcast clouds,06/07/2019,Fri,67.76,59.0,67.76,1002.06,,6,319.0,14.54
overcast clouds,06/07/2019,Fri,73.52,46.0,73.52,1002.32,,6,334.0,15.66
overcast clouds,06/07/2019,Fri,76.54,37.0,76.54,1001.04,,6,0.0,10.22
light rain,06/07/2019,Fri,70.07,46.0,70.07,1002.2,,6,331.0,15.1
moderate rain,06/07/2019,Fri,54.23,59.0,54.23,1008.33,,6,320.0,25.77
light rain,06/08/2019,Sat,54.74,56.0,54.74,1011.84,,6,307.0,14.81
light rain,06/08/2019,Sat,54.87,53.0,54.87,1013.35,,6,274.0,8.68
broken clouds,06/08/2019,Sat,50.78,58.0,50.78,1014.51,,6,286.0,14.83
scattered clouds,06/08/2019,Sat,56.21,40.0,56.21,1015.46,,6,302.0,19.82
broken clouds,06/08/2019,Sat,59.55,36.0,59.55,1016.47,,6,288.0,11.59
overcast clouds,06/08/2019,Sat,62.51,31.0,62.51,1016.23,,6,296.0,7.67
overcast clouds,06/08/2019,Sat,62.25,34.0,62.25,1016.6,,6,353.0,6.26
broken clouds,06/08/2019,Sat,53.79,50.0,53.79,1018.9,,6,116.0,1.74
broken clouds,06/09/2019,Sun,53.13,47.0,53.13,1021.1,,6,286.0,6.55
broken clouds,06/09/2019,Sun,53.46,46.0,53.46,1022.78,,6,271.0,6.35
scattered clouds,06/09/2019,Sun,48.91,61.0,48.91,1024.72,,6,262.0,8.63
clear sky,06/09/2019,Sun,59.81,43.0,59.81,1024.58,,6,281.0,12.3
clear sky,06/09/2019,Sun,66.48,29.0,66.48,1023.11,,6,271.0,12.33
clear sky,06/09/2019,Sun,71.11,19.0,71.11,1021.16,,6,276.0,12.93
few clouds,06/09/2019,Sun,70.86,23.0,70.86,1021.13,,6,282.0,14.27
scattered clouds,06/09/2019,Sun,62.99,35.0,62.99,1021.58,,6,279.0,6.93
scattered clouds,06/10/2019,Mon,58.94,37.0,58.94,1022.76,,6,273.0,7.87
clear sky,06/10/2019,Mon,55.37,42.0,55.37,1024.42,,6,315.0,11.48
